Fuente de Financiación,Situación de Fondos,Recursos´Presupuestales,Codigo Sector,Nombre Sector,Codigo Entidad,Nombre Entidad,Código Nivel Uno Rubro,Nombre Nivel Uno Rubro,Código Nivel Dos Rubro,Nombre Niel Dos Rubro,Código Nivel Tres Rubro,Nombre Nivel Tres Rubro,Código Cuarto Nivel Rubro,Nombre Cuarto Nivel Rubro,Código Quinto Nivel Rubro,Nombre Quinto Nivel Rubro,Apropiación Vigente,Compromisos,Obligaciones,Pagos
Nación,CSF,FONDO ESPECIAL FAZNI,7,MINAS Y ENERGIA,21-01-01,MINISTERIO DE MINAS Y ENERGIA - GESTION GENERAL,C,INVERSION,2102,CONSOLIDACIÓN PRODUCTIVA DEL SECTOR DE ENERGÍA ELÉCTRICA,1900,INTERSUBSECTORIAL MINAS Y ENERGÍA,15,AMPLIACION DE LA COBERTURA DEL SERVICIO DE ENERGIA ELECTRICA EN LAS ZONAS NO INTERCONECTADAS - ZNI EN EL TERRITORIO NACIONAL,40301C,"4. TRANSFORMACIÓN PRODUCTIVA, INTERNACIONALIZACIÓN Y ACCIÓN CLÍMATICA / C. CIERRE DE BRECHAS ENERGÉTICAS",230000000000,218423934193,0,0
Nación,CSF,FONDO ESPECIAL FAZNI,7,MINAS Y ENERGIA,21-01-01,MINISTERIO DE MINAS Y ENERGIA - GESTION GENERAL,C,INVERSION,2102,CONSOLIDACIÓN PRODUCTIVA DEL SECTOR DE ENERGÍA ELÉCTRICA,1900,INTERSUBSECTORIAL MINAS Y ENERGÍA,20,DESARROLLO DE ESTRATEGIAS DE IMPLEMENTACIÓN EN LA CONFORMACIÓN Y FINANCIACIÓN DE COMUNIDADES ENERGÉTICAS CON FUENTES NO CONVENCIONALES DE ENERGÍA RENOVABLE (FNCER)  NACIONAL,40301A,"4. TRANSFORMACIÓN PRODUCTIVA, INTERNACIONALIZACIÓN Y ACCIÓN CLÍMATICA / A. GENERACIÓN DE ENERGÍA A PARTIR DE FUENTES NO CONVENCIONALES DE ENERGÍA RENOVABLE (FNCER)",300000000000,243608082077,0,0
Nación,CSF,FONDOS ESPECIALES,15,INTERIOR,37-01-01,MINISTERIO DEL INTERIOR - GESTION GENERAL,A,FUNCIONAMIENTO,03,TRANSFERENCIAS CORRIENTES,03,A ENTIDADES DEL GOBIERNO,01,A ÓRGANOS DEL PGN,032,FONDO NACIONAL DE SEGURIDAD Y CONVIVENCIA CIUDADANA -FONSECON,627264000000,528982310030,0,0
Nación,CSF,FONDOS ESPECIALES,15,INTERIOR,37-01-01,MINISTERIO DEL INTERIOR - GESTION GENERAL,C,INVERSION,3702,"FORTALECIMIENTO A LA GOBERNABILIDAD TERRITORIAL PARA LA SEGURIDAD, CONVIVENCIA CIUDADANA, PAZ Y POST-CONFLICTO",1000,INTERSUBSECTORIAL GOBIERNO,13,FORTALECIMIENTO A LAS ENTIDADES TERRITORIALES A TRAVES DE LA FINANCIACION DE INFRAESTRUCTURA PARA LA SEGURIDAD Y CONVIVENCIA CIUDADANA A NIVEL NACIONAL,20105A,2. SEGURIDAD HUMANA Y JUSTICIA SOCIAL / A. NUEVO MODELO NACIÓN-TERRITORIO PARA LA CONVIVENCIA Y LA SEGURIDAD CIUDADANA,81291000000,17203016261,0,0
Nación,CSF,FONDOS ESPECIALES,15,INTERIOR,37-01-01,MINISTERIO DEL INTERIOR - GESTION GENERAL,C,INVERSION,3702,"FORTALECIMIENTO A LA GOBERNABILIDAD TERRITORIAL PARA LA SEGURIDAD, CONVIVENCIA CIUDADANA, PAZ Y POST-CONFLICTO",1000,INTERSUBSECTORIAL GOBIERNO,8,FORTALECIMIENTO DE LOS SISTEMAS INTEGRADOS DE EMERGENCIA Y SEGURIDAD SIES A NIVEL  NACIONAL,20105A,2. SEGURIDAD HUMANA Y JUSTICIA SOCIAL / A. NUEVO MODELO NACIÓN-TERRITORIO PARA LA CONVIVENCIA Y LA SEGURIDAD CIUDADANA,60000000000,49717952500,0,0
Nación,CSF,FONDOS ESPECIALES,15,INTERIOR,37-09-00,DIRECCION NACIONAL DE BOMBEROS,C,INVERSION,3708,FORTALECIMIENTO INSTITUCIONAL Y OPERATIVO DE LOS BOMBEROS DE COLOMBIA,1000,INTERSUBSECTORIAL GOBIERNO,4,"FORTALECIMIENTO DE LA GESTIÓN DE CONOCIMIENTO, REDUCCIÓN Y RESPUESTA DE LOS CUERPOS DE BOMBEROS PARA LA PRESTACIÓN DEL SERVICIO PÚBLICO BOMBERIL EN COLOMBIA NACIONAL  NACIONAL",10101B,"1. ORDENAMIENTO DEL TERRITORIO ALREDEDOR DEL AGUA Y JUSTICIA AMBIENTAL / B. DEMOCRATIZACIÓN DEL CONOCIMIENTO, LA INFORMACIÓN AMBIENTAL Y DE RIESGO DE DESASTRES",85605584213,5742638392,0,0
Nación,CSF,FONDOS ESPECIALES,17,ORGANISMOS DE CONTROL,26-01-01,CONTRALORIA GENERAL DE LA REPUBLICA - GESTION GENERAL,A,FUNCIONAMIENTO,01,GASTOS DE PERSONAL,01,PLANTA DE PERSONAL PERMANENTE,01,SALARIO,CD,SALARIO,853424000000,49044588160,48910624605,48910624605
Nación,CSF,FONDOS ESPECIALES,17,ORGANISMOS DE CONTROL,26-01-01,CONTRALORIA GENERAL DE LA REPUBLICA - GESTION GENERAL,A,FUNCIONAMIENTO,01,GASTOS DE PERSONAL,01,PLANTA DE PERSONAL PERMANENTE,02,CONTRIBUCIONES INHERENTES A LA NÓMINA,CD,CONTRIBUCIONES INHERENTES A LA NÓMINA,225264000000,6482200,6482200,6482200
Nación,CSF,FONDOS ESPECIALES,17,ORGANISMOS DE CONTROL,26-01-01,CONTRALORIA GENERAL DE LA REPUBLICA - GESTION GENERAL,A,FUNCIONAMIENTO,01,GASTOS DE PERSONAL,01,PLANTA DE PERSONAL PERMANENTE,03,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,CD,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,80511000000,4307000639,4307000639,4307000639
Nación,CSF,FONDOS ESPECIALES,17,ORGANISMOS DE CONTROL,26-01-01,CONTRALORIA GENERAL DE LA REPUBLICA - GESTION GENERAL,A,FUNCIONAMIENTO,01,GASTOS DE PERSONAL,01,PLANTA DE PERSONAL PERMANENTE,04,OTROS GASTOS DE PERSONAL - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,CD,OTROS GASTOS DE PERSONAL - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,52396000000,0,0,0
