Municipio,Estacion,Fecha,Diametro aerodinamico,Medicion
Santa Rosa de Cabal,Centro Urbano,06/09/2008 12:00:00 AM,PM10,21.83
Santa Rosa de Cabal,Centro Urbano,06/10/2008 12:00:00 AM,PM10,29.98
Santa Rosa de Cabal,Centro Urbano,06/11/2008 12:00:00 AM,PM10,13.82
Santa Rosa de Cabal,Centro Urbano,06/12/2008 12:00:00 AM,PM10,32.61
Santa Rosa de Cabal,Centro Urbano,06/13/2008 12:00:00 AM,PM10,27.61
Santa Rosa de Cabal,Centro Urbano,06/14/2008 12:00:00 AM,PM10,32.9
Santa Rosa de Cabal,Centro Urbano,06/15/2008 12:00:00 AM,PM10,28.77
Santa Rosa de Cabal,Centro Urbano,06/16/2008 12:00:00 AM,PM10,67.3
Santa Rosa de Cabal,Centro Urbano,06/17/2008 12:00:00 AM,PM10,27.23
Santa Rosa de Cabal,Centro Urbano,06/18/2008 12:00:00 AM,PM10,12.6
Santa Rosa de Cabal,Centro Urbano,06/19/2008 12:00:00 AM,PM10,30.67
Santa Rosa de Cabal,Centro Urbano,06/20/2008 12:00:00 AM,PM10,24.24
Santa Rosa de Cabal,Centro Urbano,06/21/2008 12:00:00 AM,PM10,20.06
Santa Rosa de Cabal,Centro Urbano,06/22/2008 12:00:00 AM,PM10,17.56
Santa Rosa de Cabal,Centro Urbano,06/23/2008 12:00:00 AM,PM10,30.5
Santa Rosa de Cabal,Centro Urbano,06/27/2008 12:00:00 AM,PM10,33.46
Santa Rosa de Cabal,Centro Urbano,06/28/2008 12:00:00 AM,PM10,19.12
Santa Rosa de Cabal,Centro Urbano,06/29/2008 12:00:00 AM,PM10,15.87
Santa Rosa de Cabal,Centro Urbano,06/30/2008 12:00:00 AM,PM10,26.62
Santa Rosa de Cabal,Centro Urbano,07/01/2008 12:00:00 AM,PM10,28.68
Santa Rosa de Cabal,Centro Urbano,07/02/2008 12:00:00 AM,PM10,21.89
Santa Rosa de Cabal,Centro Urbano,07/03/2008 12:00:00 AM,PM10,14.32
Santa Rosa de Cabal,Centro Urbano,07/04/2008 12:00:00 AM,PM10,35.92
Santa Rosa de Cabal,Centro Urbano,07/05/2008 12:00:00 AM,PM10,26.93
Santa Rosa de Cabal,Centro Urbano,07/06/2008 12:00:00 AM,PM10,29.71
Santa Rosa de Cabal,Centro Urbano,07/07/2008 12:00:00 AM,PM10,31.21
Santa Rosa de Cabal,Centro Urbano,07/08/2008 12:00:00 AM,PM10,27.39
Santa Rosa de Cabal,Centro Urbano,07/09/2008 12:00:00 AM,PM10,35.8
Santa Rosa de Cabal,Centro Urbano,07/10/2008 12:00:00 AM,PM10,25.45
Santa Rosa de Cabal,Centro Urbano,07/11/2008 12:00:00 AM,PM10,35.77
Santa Rosa de Cabal,Centro Urbano,07/12/2008 12:00:00 AM,PM10,41.51
Santa Rosa de Cabal,Centro Urbano,07/13/2008 12:00:00 AM,PM10,26.38
Santa Rosa de Cabal,Centro Urbano,07/14/2008 12:00:00 AM,PM10,25.34
Santa Rosa de Cabal,Centro Urbano,07/15/2008 12:00:00 AM,PM10,49.87
Santa Rosa de Cabal,Centro Urbano,07/16/2008 12:00:00 AM,PM10,32.65
Santa Rosa de Cabal,Centro Urbano,07/17/2008 12:00:00 AM,PM10,42.19
Santa Rosa de Cabal,Centro Urbano,07/18/2008 12:00:00 AM,PM10,37.55
Santa Rosa de Cabal,Centro Urbano,07/19/2008 12:00:00 AM,PM10,29.09
Santa Rosa de Cabal,Centro Urbano,07/20/2008 12:00:00 AM,PM10,48.16
Santa Rosa de Cabal,Centro Urbano,07/21/2008 12:00:00 AM,PM10,75.16
Santa Rosa de Cabal,Centro Urbano,07/22/2008 12:00:00 AM,PM10,26.69
Santa Rosa de Cabal,Centro Urbano,07/23/2008 12:00:00 AM,PM10,54.57
Santa Rosa de Cabal,Centro Urbano,07/24/2008 12:00:00 AM,PM10,29.6
Santa Rosa de Cabal,Centro Urbano,07/25/2008 12:00:00 AM,PM10,54.81
Santa Rosa de Cabal,Centro Urbano,07/26/2008 12:00:00 AM,PM10,34.94
